"Negative","Positive","Pleasure","Pain"
"abandon","abide","admiration","ache"
"abandonment","ability","admire","afraid"
"abate","able","adore","agonize"
"abdicate","abound","adulation","agony"
"abhor","absolve","amour","ail"
"abject","absorbent","amuse","ailment"
"abnormal","absorption","amusement","ambivalent"
"abolish","abundance","apocalypse","anguish"
"abominable","abundant","appeal","anxiety"
"abrasive","accede","appreciation","anxious"
"abrupt","accentuate","appreciative","anxious"
"abscond","accept","assure","anxiousness"
"absence","acceptable","attachment","apologetic"
"absent","acceptance","attraction","apprehension"
"absent-minded","accessible","balmy","apprehensive"
"absentee","accession","bliss","ashamed"
"absurd","acclaim","blissful","beset"
"absurdity","acclamation","blithe","bitter"
"abuse","accolade","calm","bitterness"
"abuse","accommodate","calm","bloodshed"
"abyss","accommodation","calm","blue"
"accident","accompaniment","calmness","broken-hearted"
"accost","accomplish","carefree","brood"
"accursed","accomplishment","celebrate","bruise"
"accusation","accord","cheerful","burdensome"
"accuse","accord","cheery","chafe"
"accuse","accord","comestible","clamor"
"ache","accordance","comfort","clamorous"
"acrimonious","accountable","comfortable","clatter"
"acrimony","accrue","comic","commiseration"
"addict","accuracy","comical","commit"
"addiction","accurate","confidence","concern"
"admonish","accurateness","confident","conflict"
"admonition","achieve","content","conflict"
"adulterate","achievement","content","cramp"
"adulteration","acknowledgement","content","cringe"
"adultery","acquaint","contentment","cripple"
"adversary","acquaintance","cozy","dejected"
"adverse","acquit","cuddle","depress"
"adversity","acquittal","cupid","depress"
"affectation","actual","decorate","depression"
"afflict","actual","decoration","despair"
"affliction","actuality","decorative","despair"
"afraid","adamant","delight","desperate"
"against","adaptability","delight","desperation"
"aggravate","adaptable","delightful","despise"
"aggravation","adaptation","determine","destitute"
"aggression","adaptive","determine","disagreeable"
"aggressive","adept","devote","disappoint"
"aggressiveness","adeptness","dote","disappointment"
"aggressor","adequate","dreamland","discomfort"
"aggrieve","adherence","eager","disconcerted"
"aghast","adherent","earnest","discontent"
"agitate","adhesion","ease","discourage"
"agitation","adhesive","ecstasy","discourage"
"agitator","adjunct","ecstatic","disgust"
"agonize","adjust","elate","disgust"
"agony","adjustable","enchantment","disgust"
"ail","adjustment","endear","disgust"
