NoText_reg,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K20,BTR_noCVEM_K30,BTR_noCVEM_K50,BTR_CVEM_K5,BTR_CVEM_K10,BTR_CVEM_K20,BTR_CVEM_K30,BTR_CVEM_K50,LDA_K5,LDA_K10,LDA_K20,LDA_K30,LDA_K50,sLDA_K5,sLDA_K10,sLDA_K20,sLDA_K30,sLDA_K50
-1.0288177826610683,-1.024225292387763,-1.0136803918129897,-0.995536187111619,-0.9975898127944203,-0.9994067433637513,-1.0382928768209327,-1.0354909943873103,-1.0283347730988597,-1.0242417872192255,-1.0097500437486449,-1.0280928937309461,-1.0245275460680716,-1.0232573638261897,-1.026480135778586,-1.0222151214505881,-1.061405325810263,-1.0477265640471898,-1.0556552160809447,-1.0214468309625053,-1.0283310050099328
-1.0202696214976168,-1.0170996265312886,-1.0134930715527974,-0.9952264814494416,-0.9975688163927109,-0.9989493807136377,-1.0367542363426394,-1.0315207624777338,-1.0245684295824227,-1.0240991715548122,-1.0095791600578043,-1.0260700078143494,-1.0242205617055595,-1.0219825552444688,-1.0258916073064361,-1.0216800800797905,-1.042400376952994,-1.043949687535395,-1.0526956209230232,-1.0204421462710132,-1.0279153247846502
-1.0172510558324177,-1.0167039299996126,-1.0115497432278042,-0.9950850008414621,-0.9974378490704928,-0.9988812840003525,-1.035044653898713,-1.0286862661657088,-1.0218186646106022,-1.0212972151932396,-1.009161912788301,-1.0259306222261628,-1.0232911983476751,-1.02039241626384,-1.0227306410448034,-1.0208815372312294,-1.0413780729963167,-1.0437729271727432,-1.0523140952596974,-1.01507858085137,-1.0279027408973558
-1.0169175865283002,-1.0145157115336125,-1.010279742056066,-0.9950848840821249,-0.9973407552821824,-0.998864939746762,-1.0347198282793104,-1.0276203735667444,-1.020444049979802,-1.0205802836754367,-1.0080213052302645,-1.0257052074413426,-1.0224735332667099,-1.020205245946574,-1.0223380005976899,-1.020570508689818,-1.0406870537969635,-1.0399048627139933,-1.0520841233080527,-1.011244567099859,-1.0260213576368316
-1.0165885602598632,-1.0138833643236573,-1.0099161490430886,-0.9950487944957515,-0.9973402300484612,-0.9986450265087591,-1.034305124299254,-1.0255039396645929,-1.0193715837591235,-1.020060650474169,-1.0072788658496143,-1.023453951889927,-1.0212619422627731,-1.019484488357252,-1.0220598104395762,-1.0197851560292273,-1.0401444575928955,-1.0397825536568357,-1.0512639690043728,-1.0099506953592747,-1.025726051672902
-1.0164384627984173,-1.0125094321395152,-1.0098216997598313,-0.995039326461569,-0.9972804658700981,-0.9986005291886542,-1.0335679883844582,-1.024454390397631,-1.0191091064548057,-1.019934636062272,-1.0071805275994599,-1.0231460881970684,-1.0207548355883054,-1.019391754096465,-1.0215741775694518,-1.0194554288778535,-1.0392163080373897,-1.037275270728256,-1.05087013046411,-1.0071550383462085,-1.0250156989532584
-1.0162893804155697,-1.0121303399806783,-1.009633675393581,-0.994969210875276,-0.9972668897256479,-0.9985560729556057,-1.0328282878602428,-1.024408690209399,-1.0188956112907421,-1.0195953790431493,-1.0065877839245063,-1.0203389836381218,-1.020392439177537,-1.0187530130043818,-1.0214584974225536,-1.0187214869868924,-1.0382410669398834,-1.0367617471189827,-1.04992791184787,-1.006235282675199,-1.0248295660991333
-1.0162889791076324,-1.0117779979534176,-1.009269907782454,-0.9949571253146313,-0.9972416390270394,-0.9985347766722711,-1.0315472233412188,-1.0241487476696436,-1.018643830705384,-1.019491286457655,-1.0064968184029548,-1.0202296460700322,-1.0203430158229967,-1.0183818150132242,-1.0208360564775918,-1.0185991509303314,-1.0378208467775774,-1.0361033699173487,-1.045641997921995,-1.0046884498758792,-1.0243673514570972
-1.0162493365763117,-1.0115316286966003,-1.0086435584613012,-0.9949521933348707,-0.9972373894107309,-0.9985266106582039,-1.0313928764230154,-1.023625421444411,-1.0184893640053596,-1.0191582516753896,-1.0063874347460502,-1.018998879624635,-1.0199680888838973,-1.0183795735400964,-1.0203137904800739,-1.0185647123812855,-1.037454124977145,-1.0344462318781829,-1.0456380356549335,-1.0042261303999571,-1.0240004434899714
-1.0161324115237167,-1.0106738832032227,-1.0079952536920658,-0.9949371366519557,-0.9972230758380283,-0.9985080852792705,-1.030993288043547,-1.0235491514175667,-1.0184402074567522,-1.0190575932486854,-1.006278796649836,-1.018431929860716,-1.0199453037599913,-1.0182801701366246,-1.0200593420380428,-1.0181993033608103,-1.0365308840738177,-1.0341524104172903,-1.0453120105544544,-1.0036017049236097,-1.0236383915599134
-1.0159489036157237,-1.0106471746506782,-1.0078449894142336,-0.9948967791706766,-0.9971823306512421,-0.9984794465739122,-1.0308066984219473,-1.0231377468035583,-1.018013619918082,-1.0187630889860237,-1.0061939223881655,-1.0181863553094272,-1.019713640432499,-1.018224682903472,-1.0194120773944177,-1.0180823305097981,-1.0356097492484015,-1.0337739533417798,-1.045268103514523,-1.0028566123947888,-1.0235133752358716
-1.015896448058613,-1.010578211260022,-1.0075629049303814,-0.9948795325734001,-0.9971374658472337,-0.9984648490672718,-1.0298441588117049,-1.0229426104400503,-1.0178742363117674,-1.018659983374915,-1.0060217547040884,-1.0180025890021698,-1.0188265184141023,-1.0181745566041398,-1.019032058692987,-1.0179642001989533,-1.0352066280512182,-1.0336394516549399,-1.044756125738524,-1.002758551631869,-1.0226355771436433
-1.0155297700894725,-1.0104849074430584,-1.0075240922222184,-0.9948708002211437,-0.9971225169602352,-0.9984508114963114,-1.029344348783757,-1.0226867743573322,-1.01774319789992,-1.0186265487572959,-1.0059333781556665,-1.0179946484267042,-1.0184445351770663,-1.01804884921615,-1.0190183810643505,-1.017917183573678,-1.0349253179012492,-1.0336056875515598,-1.0440401412552085,-1.0027006810750179,-1.022369515812821
-1.015521575871881,-1.0104583188996035,-1.0074250127049638,-0.9948576590945079,-0.9970594136291366,-0.998425163938201,-1.0292443923943086,-1.0225363698194958,-1.017326078187342,-1.0183492035226538,-1.005756159319485,-1.0176569314735453,-1.0182103126896986,-1.0177950111761074,-1.0186697547289616,-1.0178477400369184,-1.0348467412014222,-1.0334676501548106,-1.043661793017907,-1.0026763941473307,-1.0221688793881467
-1.0155033482908327,-1.0104069619701799,-1.007280473373819,-0.9948377653226037,-0.9970344241948951,-0.9983985742376448,-1.0289761958629284,-1.0224632106738685,-1.0169969189362764,-1.0182721536118169,-1.0056431028177273,-1.0174209328732016,-1.018036831086534,-1.0175655901081664,-1.0184481959424958,-1.0174678289513448,-1.0333736450829272,-1.0331679786119141,-1.043596032730007,-1.002644255105402,-1.0220735532782308
-1.0154263621643556,-1.0104012794310204,-1.0072384433087889,-0.9948290914969414,-0.9970154836951847,-0.9983789972386112,-1.028909583561713,-1.0224009439599506,-1.016975482469407,-1.018198457818256,-1.0056006748641517,-1.017304805312985,-1.0169242187092915,-1.0171517964760122,-1.0183994889721066,-1.0171235291593261,-1.0332980478857294,-1.0327193451216659,-1.0433678195587262,-1.0025641326000057,-1.0217756439677852
-1.0153935208543208,-1.0101657584450385,-1.0070356092232708,-0.9948057595779967,-0.9970114847355318,-0.9983694255929586,-1.028659687916858,-1.0223178226732694,-1.0169283607227613,-1.0178606340475151,-1.005507377430745,-1.0172588648785876,-1.0169033336920865,-1.016795733387459,-1.0183903318350203,-1.0168876174641401,-1.032771550521653,-1.0322902369760198,-1.0432768746236618,-1.0018913740613906,-1.021344802356146
-1.0153544652407474,-1.0099258583982669,-1.0068833278185843,-0.9948054613341352,-0.996994718768185,-0.9983667860695516,-1.028234954358425,-1.0216916905073785,-1.016899981765379,-1.0178519725917454,-1.0053887417851977,-1.0164966999801677,-1.0168935512553763,-1.0163317251838961,-1.0181381628089012,-1.0168347251579228,-1.0325201004832436,-1.031727738827361,-1.0430767317296736,-1.0018885956828174,-1.0213302380220355
-1.0153047337428425,-1.0099014254464043,-1.0066501958255376,-0.9947917097830203,-0.9969869094954595,-0.9983337439041226,-1.027340300351996,-1.021356571382253,-1.01681961426629,-1.0177612935044082,-1.0051988853187448,-1.0163027794378807,-1.0167931547806734,-1.0161377216663237,-1.018028663623647,-1.016757753464405,-1.0321591984437306,-1.0314517572456308,-1.0429397311788238,-1.0017238104055262,-1.0207773009996097
