run,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K20,BTR_noCVEM_K30,BTR_noCVEM_K50
1,-0.3301467475726858,-0.7694417377894498,-0.8095652193447612,-0.8009650013821888,-0.7956317900055343
2,-0.3272297150068614,-0.8162159420896671,-0.8165220429730627,-0.7718026907295149,-0.8134417940711277
3,-0.35527848700844,-0.7640556456537795,-0.7807283278696815,-0.8107110686507066,-0.8137391236813337
4,-0.3252773338018472,-0.806097524090668,-0.8170859352620563,-0.8144691815522781,-0.8084526739044504
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
