doc_id,y,x1,Z_bar1,Z_bar2,Z_bar3
1,-0.13242158442317872,0.0,0.0,0.12,0.88
2,0.022093438839492805,0.0,0.0,0.42,0.58
3,0.11364650803965,0.0,0.0,0.18,0.82
4,-0.12171632736233967,0.0,0.0,0.34,0.66
5,0.02482246562907841,0.0,0.0,0.94,0.06
6,0.29886672589480356,0.0,0.0,0.62,0.38
7,-0.1780376703624129,0.0,0.0,0.18,0.82
8,0.10181592757843422,0.0,0.0,0.58,0.42
9,-0.16076480987725048,0.0,0.0,0.08,0.92
10,0.09301540736489514,0.0,0.0,0.0,1.0
11,-0.2501191446996742,0.0,0.0,0.44,0.56
12,0.07572009919976028,0.0,0.0,0.3,0.7
13,0.3858938265967359,0.0,0.0,0.52,0.48
14,-0.03425002282083458,0.0,0.0,0.08,0.92
15,-0.040348714128418124,0.0,0.0,0.44,0.56
16,-0.07140831902143772,0.0,0.0,0.44,0.56
17,-0.5599649438633931,0.0,0.0,0.82,0.18
18,-0.03458381111196665,0.0,0.0,0.88,0.12
19,0.3997604188537166,0.0,0.0,0.82,0.18
20,-0.0059048079107283345,0.0,0.0,0.56,0.44
21,0.04342709093017601,0.0,0.0,0.2,0.8
22,0.08791938859203184,0.0,0.0,0.9,0.1
23,0.2695638313293349,0.0,0.0,0.3,0.7
24,-0.0639967341310738,0.0,0.02,0.66,0.32
25,0.32303579903498864,0.0,0.0,0.86,0.14
26,-0.26390524134956417,0.0,0.0,0.6,0.4
27,-0.18718267660086096,0.0,0.0,0.44,0.56
28,-0.14000395095234702,0.0,0.0,0.52,0.48
29,-0.11733786974846779,0.0,0.0,0.26,0.74
30,0.14960559059141518,0.0,0.0,0.02,0.98
31,0.08743325286816489,0.0,0.0,0.7,0.3
32,0.405453487104763,0.0,0.0,0.02,0.98
33,-0.12092941319955396,0.0,0.0,0.78,0.22
34,-0.0894895613238788,0.0,0.0,0.46,0.54
35,0.10678941574781123,0.0,0.0,0.7,0.3
36,-0.13167976641411883,0.0,0.0,0.74,0.26
37,0.053428079500290326,0.0,0.0,0.04,0.96
38,0.22309105010434235,0.0,0.0,0.58,0.42
39,-0.08842583596944378,0.0,0.02,0.58,0.4
40,0.2361276943457409,0.0,0.0,0.38,0.62
41,0.10896362428903503,0.0,0.0,0.02,0.98
42,-0.16386707961891706,0.0,0.0,0.9,0.1
43,0.009909746514471188,0.0,0.0,0.66,0.34
44,0.24575421245866869,0.0,0.0,0.28,0.72
45,-0.18009566415015413,0.0,0.0,0.0,1.0
46,-0.14164677143291515,0.0,0.02,0.06,0.92
47,0.4869055335800487,0.0,0.0,0.52,0.48
48,-0.2794321301208238,0.0,0.0,0.64,0.36
49,-0.08635881453618752,0.0,0.0,0.7,0.3
50,0.6082629585471903,0.0,0.0,0.44,0.56
51,0.023719253989887182,0.0,0.0,0.56,0.44
52,0.15424884217760143,0.0,0.0,0.08,0.92
53,-0.3054441951737362,0.0,0.0,0.2,0.8
54,-0.0027023901672972492,0.0,0.0,0.9,0.1
55,-0.008000239128543037,0.0,0.0,0.3,0.7
56,0.06503935629736382,0.0,0.0,0.22,0.78
57,-0.06392487284663281,0.0,0.0,0.66,0.34
58,-0.11804101640168943,0.0,0.0,1.0,0.0
59,0.05077613170046861,0.0,0.0,0.72,0.28
60,0.03628141645390409,0.0,0.02,0.08,0.9
61,0.16862991173200123,0.0,0.02,0.78,0.2
62,-0.2132098109948533,0.0,0.0,0.14,0.86
63,0.2634812301071583,0.0,0.0,0.6,0.4
64,0.4084419130812568,0.0,0.0,0.36,0.64
65,0.01308051831680768,0.0,0.0,0.16,0.84
66,-0.16882764659224905,0.0,0.0,0.3,0.7
67,0.06840539300893728,0.0,0.0,0.3,0.7
68,-0.2690302124867536,0.0,0.0,0.1,0.9
69,-0.22831275553459351,0.0,0.0,0.92,0.08
70,0.3588290841506296,0.0,0.0,0.48,0.52
71,-0.24233198991168478,0.0,0.02,0.82,0.16
72,0.09323200272946808,0.0,0.0,0.7,0.3
73,-0.2522289413057956,0.0,0.0,0.34,0.66
74,-0.1463244577118548,0.0,0.0,0.74,0.26
75,-0.47102709239219176,0.0,0.0,0.2,0.8
76,0.22473822310271976,0.0,0.0,0.1,0.9
77,0.4651081176556962,0.0,0.02,0.56,0.42
78,-0.10556792940723582,0.0,0.0,0.74,0.26
79,0.3066376054737336,0.0,0.0,0.02,0.98
80,0.02687070080759285,0.0,0.0,0.66,0.34
81,0.2402916807338337,0.0,0.0,0.62,0.38
82,0.6232910254166225,0.0,0.0,0.64,0.36
83,0.030641263073495306,0.0,0.0,0.34,0.66
84,-0.20135286183703122,0.0,0.0,0.92,0.08
85,0.08199411258561025,0.0,0.0,0.58,0.42
86,-0.06709583173141784,0.0,0.0,0.56,0.44
87,0.10953611451863703,0.0,0.02,0.78,0.2
88,-0.09204576634815946,0.0,0.0,0.54,0.46
89,-0.14157039762358853,0.0,0.02,0.24,0.74
90,-0.03415560414042743,0.0,0.0,0.98,0.02
91,0.09683332468666067,0.0,0.0,0.98,0.02
92,-0.2800969187970955,0.0,0.0,0.48,0.52
